0.000,2.513,1.819,1.182,0.518
0.000,2.482,1.832,1.207,0.479
0.000,2.503,1.800,1.156,0.588
0.000,2.477,1.698,1.102,0.639
0.000,2.441,1.677,0.926,0.691
0.000,2.424,1.699,0.000,0.642
0.000,2.293,1.509,1.531,0.467
0.000,2.282,1.424,1.507,0.807
0.000,2.340,1.446,1.472,0.006
0.000,2.444,1.638,1.510,0.783
0.536,2.539,1.721,1.359,1.139
0.553,2.483,1.626,1.344,1.492
0.521,2.350,1.484,1.257,1.810
0.482,2.274,1.389,1.304,1.965
0.507,2.445,1.695,1.042,1.220
0.488,2.462,1.728,1.157,1.715
0.566,2.635,1.780,0.939,1.385
0.618,2.594,1.657,0.901,1.625
0.000,2.606,1.580,0.884,1.751
0.599,2.461,1.524,0.893,1.739
0.613,2.609,1.765,0.000,1.146
0.615,2.581,1.708,1.116,0.612
0.568,2.467,1.583,1.128,1.051
0.570,2.401,1.483,1.185,1.896
0.579,2.392,1.458,1.230,1.921
0.603,2.378,1.480,1.183,1.589
0.000,2.489,1.540,1.246,1.901
0.622,2.563,1.753,1.214,2.048
0.661,2.622,1.787,1.175,2.360
0.668,2.635,1.818,1.182,2.411
0.672,2.674,1.841,1.275,2.204
0.726,2.708,1.819,0.945,1.983
0.714,2.689,1.860,0.955,2.183
0.685,2.618,1.848,0.978,2.349
0.634,2.621,1.860,0.925,2.332
0.583,2.483,1.699,0.875,2.604
0.622,2.421,1.501,0.729,2.159
0.702,2.512,1.546,0.559,2.107
0.763,2.779,1.756,0.000,2.342
0.761,2.806,1.808,0.854,2.824
0.742,2.765,1.778,0.908,2.900
0.000,2.824,1.804,0.952,2.879
0.757,2.758,1.757,1.067,2.796
0.788,2.746,1.743,1.109,2.836
0.758,2.664,1.817,1.321,2.879
0.698,2.614,1.882,1.371,2.902
0.684,2.646,1.855,1.324,2.961
0.747,2.701,1.872,1.307,2.978
0.814,2.763,1.813,0.974,3.073
0.785,2.703,1.736,0.763,3.186
0.762,2.803,1.945,0.901,3.230
0.812,2.948,2.023,0.735,2.796
0.814,2.867,1.934,0.773,3.101
0.830,2.793,1.817,0.761,3.353
0.763,2.937,2.137,0.000,3.533
0.772,2.791,1.995,1.130,3.697
0.833,2.903,2.060,1.008,3.384
0.791,2.883,2.035,0.991,3.420
0.822,2.927,2.060,0.837,3.384
0.840,2.933,2.069,0.851,3.617
0.918,3.082,2.188,0.711,3.271
0.960,3.044,2.135,0.568,3.758
0.964,3.053,2.058,0.000,3.892
0.974,3.095,1.548,0.000,4.072
0.000,3.249,1.773,0.000,4.024
1.117,3.092,1.751,0.603,4.007
1.121,3.084,2.205,0.472,3.734
1.130,3.037,2.169,0.465,3.926
1.165,3.119,2.202,0.000,4.056
1.146,3.068,2.139,0.000,4.145
1.209,3.197,1.695,0.496,3.539
1.136,2.929,2.133,0.622,3.688
1.140,2.922,2.126,0.944,3.711
